PassengerId,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,Cabin_Number,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,CryoSleep_True,VIP_True,Cabin_Deck_B,Cabin_Deck_C,Cabin_Deck_D,Cabin_Deck_E,Cabin_Deck_F,Cabin_Deck_G,Cabin_Deck_T,Cabin_Side_S
3652_01,0.35443037974683544,0.0,0.0,0.0,0.0,0.0,Lina Frandriquez,False,591,False,False,False,True,True,False,False,False,False,False,False,True,False,True
8449_01,0.4050632911392405,0.0,0.07225036058095462,0.0,0.43087290253480903,0.03559441428749016,Arrain Purellliss,False,317,True,False,False,False,False,False,False,True,False,False,False,False,False,True
1871_01,0.3924050632911392,0.0,0.0665146077214638,0.0,0.0076758300606926105,0.002154725894004061,Aston Spedlybood,True,70,True,False,False,True,False,False,False,True,False,False,False,False,False,True
1811_01,0.31645569620253167,0.0,0.0,0.0,0.0,0.0,Gerry Georgasey,True,285,False,False,True,False,True,False,False,False,False,False,False,True,False,True
8589_01,0.3291139240506329,0.00041878969777343477,0.024418877670814746,0.0,0.05681006783291682,0.046243732648241,Gacrab Gealter,False,267,True,False,False,False,False,False,False,False,True,False,False,False,False,False
7639_01,0.5569620253164557,0.0,0.0,0.0,,0.0,Wimps Invebodene,True,290,True,False,False,False,True,False,True,False,False,False,False,False,False,True
4128_03,0.05063291139240506,0.0,,0.0,0.0,0.0,Guanch Pare,True,846,False,True,False,True,True,False,False,False,False,False,True,False,False,False
1604_01,0.3037974683544304,0.00013959656592447826,0.00010062724314896186,0.0,0.02749018207782935,0.006671362864127958,Dellie Rostarks,False,257,False,False,False,True,False,False,False,False,False,False,False,True,False,False
1443_01,0.20253164556962025,0.0,0.0,0.0,0.0,0.0,Anda Jimes,True,225,False,False,False,True,True,False,False,False,False,False,False,True,False,False
7727_01,0.4177215189873418,0.0,0.0,0.0,0.019457336665476617,0.009281896158786723,Iree Hurchrisong,True,507,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1506_01,0.24050632911392406,0.0,0.0008050179451916949,0.026179124808445427,0.0004016422706176366,0.0,Bara Vines,True,298,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2333_01,0.20253164556962025,0.0,0.0,0.0,0.0,0.0,Igrish Fiha,False,137,False,True,False,True,False,False,False,False,False,True,False,False,False,False
3713_03,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,Gollux Trattle,True,133,True,False,False,True,True,False,False,True,False,False,False,False,False,True
8397_01,0.27848101265822783,0.00013959656592447826,0.003488411095830678,0.0171973437766048,0.0,0.0,Kendy Daughessey,True,1371,False,False,True,False,False,False,False,False,False,False,False,True,False,False
3060_03,0.6962025316455696,0.0,0.0,0.0,0.0,0.0,Torms Chman,False,201,False,True,False,True,False,False,False,False,False,True,False,False,False,True
8641_01,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,Cint Mille,True,1667,False,True,False,True,False,False,False,False,False,False,True,False,False,True
5171_01,0.2911392405063291,0.0,0.000234796900680911,0.0,0.008479114601927884,0.020759955248000662,Julin Estiagosen,False,991,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0031_03,0.25316455696202533,,0.0,0.07449344457687723,0.044180649767940026,0.0,Dontch Datie,True,9,False,True,False,True,False,False,False,False,False,False,True,False,False,False
5530_02,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,Mondax Mesty,True,1144,False,True,False,True,True,False,False,False,False,False,True,False,False,False
6468_02,0.10126582278481013,0.0,0.0,0.0,0.0,0.0,Guans Crité,True,1339,False,True,False,True,True,False,False,False,False,False,True,False,False,False
5362_01,0.4430379746835443,0.0,0.0,0.0,0.0,0.0,Meratz Prearright,True,336,True,False,False,False,True,False,False,False,False,True,False,False,False,False
5728_01,0.3037974683544304,0.0,0.007278703921108241,0.0,0.0034362727597286686,0.02113288857580906,Jodia Wolferguson,False,1185,False,False,False,True,False,False,False,False,False,False,True,False,False,False
7983_01,0.6708860759493671,0.0,0.0,0.0,0.0,0.0,Alderak Wassird,True,,True,False,False,True,True,False,False,False,False,False,False,False,False,False
3561_02,0.21518987341772153,0.11286382354994066,0.0,0.0756427720074919,0.0,0.0,Wase Stpie,True,118,False,True,False,True,False,False,False,False,True,False,False,False,False,False
3172_01,0.3291139240506329,0.0,0.0,0.05755150689596458,0.00022313459478757588,0.0,Allena Sellahaney,False,659,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4038_01,0.3037974683544304,0.0,0.0,0.0,0.0,0.0,Elice Reenez,False,664,False,False,True,False,True,False,False,False,False,False,False,True,False,True
6883_01,0.3291139240506329,0.0,0.0,4.256768261535842e-05,0.0,0.016491940496415697,Evaned Wolferguson,True,1120,False,False,False,True,False,False,False,False,False,False,False,True,False,True
1002_01,0.0379746835443038,0.0,0.0,0.0,0.0,0.0,Caish Leste,True,187,False,True,False,False,False,False,False,False,False,False,True,False,False,True
6841_01,0.3670886075949367,,0.0,0.0,0.0,0.0,Tekris Meate,True,454,False,True,False,False,True,False,False,False,False,True,False,False,False,True
1957_01,0.31645569620253167,0.0,0.0,0.0,0.0,0.0,Patoya Maynardner,False,309,False,False,False,True,True,False,False,False,False,False,False,True,False,True
2457_01,0.20253164556962025,0.0,0.0,0.0,0.0,0.0,Brada Raney,True,400,False,False,False,True,True,False,False,False,False,False,False,True,False,False
2820_01,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,Valex Lopelases,True,457,False,False,False,True,True,False,False,False,False,False,False,True,False,False
0337_02,0.24050632911392406,0.029105883995253715,0.011706302619662563,0.026987910778137236,0.00013388075687254553,0.04379894749927485,Weros Perle,True,63,False,True,False,True,False,False,False,False,False,False,True,False,False,True
0343_01,0.3924050632911392,0.008445592238430935,0.0,0.0,0.012227775794359158,0.0375833920358016,Meremy Salez,False,76,False,False,True,False,False,False,False,False,False,False,True,False,False,False
3204_03,0.5822784810126582,0.0,0.004394056284171334,,0.39597465191003217,0.019433970082459704,Matan Wirdley,False,27,True,False,False,True,False,False,False,False,False,False,False,False,False,False
4267_02,0.4050632911392405,0.0,0.0,0.043419036267665585,0.0,0.0,Glene Nichaner,True,883,False,False,False,True,False,False,False,False,False,False,True,False,False,False
8289_01,0.17721518987341772,0.0,0.0,0.0,0.0,0.0,Stendy Fredersend,False,1350,False,False,False,True,True,False,False,False,False,False,False,True,False,False
6825_01,0.37974683544303794,0.0,0.0,0.0,0.0,0.0,Peefox Kinad,True,1306,False,True,False,False,True,False,False,False,False,False,True,False,False,True
3300_02,0.5949367088607594,0.02638375095972639,0.0,0.004980418865996935,0.051187076044269905,0.005469688807856462,Quan Fla,False,688,False,True,False,True,False,False,False,False,False,False,True,False,False,False
8106_01,0.620253164556962,0.0,0.0,0.0,0.0,0.0,Daley Rigginsen,True,1306,False,False,False,False,True,False,False,False,False,False,False,True,False,True
6895_01,0.31645569620253167,0.0,0.15469761513433736,0.0,0.11536058550517672,0.07951767289603448,Ainon Conachets,False,220,True,False,False,True,False,False,False,True,False,False,False,False,False,False
6523_01,0.25316455696202533,0.0,0.0,0.0,0.0,0.0,Derine Bardina,True,1246,False,False,True,False,True,False,False,False,False,False,True,False,False,True
